Time (hr),Concentration (muM),Rat,Sex,Molecular Weight (g/mol),Weight (mg),Dose Amount (g/kg)
0,11.2,Rat1,Female,565.59,0.285,0.02
0.00714167,7.47,Rat1,Female,565.59,0.285,0.02
0.0142833,10.3,Rat1,Female,565.59,0.285,0.02
0.021425,12.3,Rat1,Female,565.59,0.285,0.02
0.0285667,11.4,Rat1,Female,565.59,0.285,0.02
0.0357083,5.73,Rat1,Female,565.59,0.285,0.02
0.04285,8.36,Rat1,Female,565.59,0.285,0.02
0.0499917,17.3,Rat1,Female,565.59,0.285,0.02
0.0571333,35.9,Rat1,Female,565.59,0.285,0.02
0.064275,54,Rat1,Female,565.59,0.285,0.02
0.0714167,63.5,Rat1,Female,565.59,0.285,0.02
0.0785583,71.7,Rat1,Female,565.59,0.285,0.02
0.0857,74,Rat1,Female,565.59,0.285,0.02
0.0928417,77.9,Rat1,Female,565.59,0.285,0.02
0.0999833,80.5,Rat1,Female,565.59,0.285,0.02
0.107125,81.3,Rat1,Female,565.59,0.285,0.02
0.114267,87.4,Rat1,Female,565.59,0.285,0.02
0.121408,93.3,Rat1,Female,565.59,0.285,0.02
0.12855,108,Rat1,Female,565.59,0.285,0.02
0.135692,90.1,Rat1,Female,565.59,0.285,0.02
0.142833,106,Rat1,Female,565.59,0.285,0.02
0.149975,106,Rat1,Female,565.59,0.285,0.02
0.157117,92.6,Rat1,Female,565.59,0.285,0.02
0.164258,95.5,Rat1,Female,565.59,0.285,0.02
0.1714,95.5,Rat1,Female,565.59,0.285,0.02
0.178542,110,Rat1,Female,565.59,0.285,0.02
0.185683,102,Rat1,Female,565.59,0.285,0.02
0.192825,103,Rat1,Female,565.59,0.285,0.02
0.199967,105,Rat1,Female,565.59,0.285,0.02
0.207108,103,Rat1,Female,565.59,0.285,0.02
0.21425,103,Rat1,Female,565.59,0.285,0.02
0.221392,96.6,Rat1,Female,565.59,0.285,0.02
0.228533,89.9,Rat1,Female,565.59,0.285,0.02
0.235675,85.3,Rat1,Female,565.59,0.285,0.02
0.242817,77.2,Rat1,Female,565.59,0.285,0.02
0.249958,80.1,Rat1,Female,565.59,0.285,0.02
0.2571,89.6,Rat1,Female,565.59,0.285,0.02
0.264242,98,Rat1,Female,565.59,0.285,0.02
0.271383,94.5,Rat1,Female,565.59,0.285,0.02
0.278525,81.9,Rat1,Female,565.59,0.285,0.02
0.285667,80.3,Rat1,Female,565.59,0.285,0.02
0.292808,73.8,Rat1,Female,565.59,0.285,0.02
0.29995,84.8,Rat1,Female,565.59,0.285,0.02
0.307092,87.8,Rat1,Female,565.59,0.285,0.02
0.314233,76.9,Rat1,Female,565.59,0.285,0.02
